variety,reps,nitrogen,grain_yield
CV1,1,N1,16.59
CV1,2,N1,16.59
CV1,3,N1,15.91
CV1,4,N1,17.57
CV1,5,N1,16.40
CV1,6,N1,16.20
CV1,7,N1,18.45
CV1,8,N1,14.35
CV1,9,N1,13.27
CV1,10,N1,16.15
CV1,1,N0,11.58
CV1,2,N0,12.29
CV1,3,N0,12.07
CV1,4,N0,11.47
CV1,5,N0,12.07
CV1,6,N0,10.76
CV1,7,N0,11.09
CV1,8,N0,9.84
CV1,9,N0,12.34
CV1,10,N0,10.76
CV2,1,N1,10.98
CV2,2,N1,11.24
CV2,3,N1,10.98
CV2,4,N1,12.02
CV2,5,N1,12.11
CV2,6,N1,13.41
CV2,7,N1,11.50
CV2,8,N1,12.37
CV2,9,N1,9.77
CV2,10,N1,11.85
CV2,1,N0,12.26
CV2,2,N0,11.42
CV2,3,N0,11.02
CV2,4,N0,10.58
CV2,5,N0,12.11
CV2,6,N0,10.72
CV2,7,N0,9.93
CV2,8,N0,9.98
CV2,9,N0,9.88
CV2,10,N0,10.87
CV3,1,N1,15.14
CV3,2,N1,13.75
CV3,3,N1,13.49
CV3,4,N1,14.79
CV3,5,N1,13.06
CV3,6,N1,13.66
CV3,7,N1,13.23
CV3,8,N1,14.36
CV3,9,N1,13.66
CV3,10,N1,14.27
CV3,1,N0,12.16
CV3,2,N0,10.29
CV3,3,N0,12.28
CV3,4,N0,11.25
CV3,5,N0,12.45
CV3,6,N0,10.97
CV3,7,N0,12.62
CV3,8,N0,11.31
CV3,9,N0,12.33
CV3,10,N0,12.67
CV4,1,N1,12.96
CV4,2,N1,11.94
CV4,3,N1,12.70
CV4,4,N1,13.90
CV4,5,N1,12.62
CV4,6,N1,12.62
CV4,7,N1,11.42
CV4,8,N1,12.19
CV4,9,N1,11.17
CV4,10,N1,11.34
CV4,1,N0,12.01
CV4,2,N0,12.23
CV4,3,N0,12.34
CV4,4,N0,13.51
CV4,5,N0,13.07
CV4,6,N0,13.01
CV4,7,N0,12.18
CV4,8,N0,11.29
CV4,9,N0,12.62
CV4,10,N0,12.51
CV5,1,N1,12.18
CV5,2,N1,13.70
CV5,3,N1,11.61
CV5,4,N1,12.94
CV5,5,N1,14.37
CV5,6,N1,14.08
CV5,7,N1,13.51
CV5,8,N1,13.70
CV5,9,N1,15.13
CV5,10,N1,14.65
CV5,1,N0,11.06
CV5,2,N0,11.34
CV5,3,N0,11.56
CV5,4,N0,10.34
CV5,5,N0,10.62
CV5,6,N0,10.90
CV5,7,N0,11.68
CV5,8,N0,10.62
CV5,9,N0,10.95
CV5,10,N0,10.45
CV6,1,N1,13.60
CV6,2,N1,11.32
CV6,3,N1,12.54
CV6,4,N1,11.58
CV6,5,N1,12.02
CV6,6,N1,11.32
CV6,7,N1,12.02
CV6,8,N1,11.93
CV6,9,N1,12.46
CV6,10,N1,13.95
CV6,1,N0,12.56
CV6,2,N0,12.62
CV6,3,N0,13.92
CV6,4,N0,14.38
CV6,5,N0,13.36
CV6,6,N0,12.90
CV6,7,N0,12.33
CV6,8,N0,12.22
CV6,9,N0,13.92
CV6,10,N0,11.88
CV7,1,N1,11.33
CV7,2,N1,9.77
CV7,3,N1,10.64
CV7,4,N1,11.85
CV7,5,N1,10.29
CV7,6,N1,13.15
CV7,7,N1,10.72
CV7,8,N1,10.64
CV7,9,N1,10.29
CV7,10,N1,11.24
CV7,1,N0,11.32
CV7,2,N0,10.63
CV7,3,N0,11.95
CV7,4,N0,11.63
CV7,5,N0,10.47
CV7,6,N0,11.53
CV7,7,N0,11.10
CV7,8,N0,10.68
CV7,9,N0,10.68
CV7,10,N0,11.79
CV8,1,N1,14.09
CV8,2,N1,14.37
CV8,3,N1,12.21
CV8,4,N1,14.09
CV8,5,N1,13.62
CV8,6,N1,13.99
CV8,7,N1,14.93
CV8,8,N1,12.68
CV8,9,N1,15.87
CV8,10,N1,9.95
CV8,1,N0,12.67
CV8,2,N0,11.99
CV8,3,N0,11.25
CV8,4,N0,12.33
CV8,5,N0,11.71
CV8,6,N0,12.50
CV8,7,N0,11.88
CV8,8,N0,10.63
CV8,9,N0,12.45
CV8,10,N0,12.79
CV9,1,N1,9.97
CV9,2,N1,10.14
CV9,3,N1,12.96
CV9,4,N1,10.91
CV9,5,N1,11.08
CV9,6,N1,11.00
CV9,7,N1,11.34
CV9,8,N1,10.14
CV9,9,N1,11.08
CV9,10,N1,10.49
CV9,1,N0,11.29
CV9,2,N0,11.79
CV9,3,N0,12.40
CV9,4,N0,11.51
CV9,5,N0,11.51
CV9,6,N0,11.62
CV9,7,N0,11.84
CV9,8,N0,10.67
CV9,9,N0,11.51
CV9,10,N0,10.67
CV10,1,N1,10.00
CV10,2,N1,12.37
CV10,3,N1,10.44
CV10,4,N1,11.32
CV10,5,N1,10.61
CV10,6,N1,12.63
CV10,7,N1,13.42
CV10,8,N1,12.46
CV10,9,N1,12.37
CV10,10,N1,12.11
CV10,1,N0,11.96
CV10,2,N0,14.13
CV10,3,N0,11.85
CV10,4,N0,13.10
CV10,5,N0,12.07
CV10,6,N0,13.37
CV10,7,N0,12.29
CV10,8,N0,12.39
CV10,9,N0,12.45
CV10,10,N0,13.43
